Source,Target,Type,id,label,timeset,weight,from type,edge,starting date,ending date
"Taguspark, SA",FCR ISTART I,Directed,0,,"<[2011.0, Infinity]>",1.0,Universities,Investment,2011,
Sindicato Nac. Quadros e Técnicos Bancários,FCR Portugal Ventures Universitas,Directed,1,,"<[2011.0, Infinity]>",1.0,Other,VC Fundraising,2011,
Fundo ISQ Capital,"SPHERAA - PRODUÇÃO DE ENERGIA, LDA",Directed,2,,"<[2008.0, Infinity]>",1.0,Venture Capital Funds,Investment,2008,
Fundo ISQ Capital,"IBERMAROS-EQUIPAMENTOS INDUSTRIAIS, S.A.",Directed,3,,"<[2005.0, Infinity]>",1.0,Venture Capital Funds,Investment,2005,
Investo,"UNBABEL, INC.",Directed,4,,"<[2014.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s - Outside PT,Investment,2014,
Cisco Investments,"VENIAM, INC.",Directed,5,,"<[2014.0, Infinity]>",1.0,Corporate,Investment,2014,
Herrick Partners,"YDREAMS - INFORMÁTICA, S.A.",Directed,6,,"<[2006.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s - Outside PT,Investment,2006,
"Mota­ Engil, Engenharia e Construção , S. A.","BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",Directed,7,,"<[2006.0, Infinity]>",1.0,Corporate,Investment,2006,
NEUTROPLAST ­ INDÚSTRIA DE EMBALAGENS PLÁSTICAS S.A.,"BEYONDEVICES, S.A.",Directed,8,,"<[2015.0, Infinity]>",1.0,Corporate,Investment,2015,
Grupo EDP,EDP Inovação,Directed,9,,"<[2005.0, Infinity]>",1.0,Corporate,Management entity (or controlling entity),2005,
Grupo EDP,EDP Ventures SGPS,Directed,10,,"<[2005.0, Infinity]>",1.0,Corporate,Management entity (or controlling entity),2005,
Grupo EDP,"WINDPLUS, S.A.",Directed,11,,"<[2009.0, Infinity]>",1.0,Corporate,Investment,2009,
Grupo EDP,"EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.",Directed,12,,"<[2012.0, Infinity]>",1.0,Corporate,Investment,2012,
"Critical Software, S.A.","CBRA GENOMICS, S.A.",Directed,13,,"<[2013.0, Infinity]>",1.0,Corporate,Investment,2013,
EDP Inovação,"WINDPLUS, S.A.",Directed,14,,"<[2009.0, Infinity]>",1.0,Corporate,Investment,2009,
EDP Ventures SGPS,"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",Directed,15,,"<[2011.0, 2015.0]>",1.0,Corporate,Investment,2011,2015
"Brisa, SA",FCR ISTART I,Directed,16,,"<[2011.0, Infinity]>",1.0,Corporate,VC Fundraising,2011,
"Brisa, SA",FCR F-HITEC,Directed,17,,"<[2008.0, Infinity]>",1.0,Corporate,VC Fundraising,2008,
SIBS,FCR F-HITEC,Directed,18,,"<[2008.0, Infinity]>",1.0,Corporate,VC Fundraising,2008,
Verizon Ventures,"VENIAM, INC.",Directed,19,,"<[2014.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s - Outside PT,Investment,2014,
Cane Investments LLC,"VENIAM, INC.",Directed,20,,"<[2014.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s - Outside PT,Investment,2014,
Yamaha Motor Ventures,"VENIAM, INC.",Directed,21,,"<[2014.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s - Outside PT,Investment,2014,
Orange Digital Ventures,"VENIAM, INC.",Directed,22,,"<[2014.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s - Outside PT,Investment,2014,
Liberty Global Ventures,"VENIAM, INC.",Directed,23,,"<[2014.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s - Outside PT,Investment,2014,
"CUF ­ Companhia União Fabril, SGPS, S.A","YD YNVISIBLE, S.A.",Directed,24,,"<[2013.0, Infinity]>",1.0,Corporate,Investment,2013,
Beyond Newsgen ­ Soluções de Gestão e Personalização de Conteúdos Lda,"WIZI TO FIND, S.A.",Directed,25,,"<[2006.0, Infinity]>",1.0,Corporate,Investment,2006,
ENERNOVA - Novas Energias S.A.,"WINDPLUS, S.A.",Directed,26,,"<[2009.0, Infinity]>",1.0,Corporate,Investment,2009,
ISCTE,FCR Portugal Ventures Universitas,Directed,27,,"<[2011.0, Infinity]>",1.0,Universities,VC Fundraising,2011,
ISCTE,BGI SA,Directed,28,,"<[2013.0, Infinity]>",1.0,Universities,Management entity (or controlling entity),2013,
Universidade do Porto,"SMARTWATT - ENERGY SERVICES, S.A.",Directed,29,,"<[2009.0, Infinity]>",1.0,Universities,Investment,2009,
Universidade do Porto,"PETSYS ELECTRONICS - MEDICAL PET DETECTORS,",Directed,30,,"<[2013.0, Infinity]>",1.0,Universities,Investment,2013,
Universidade do Porto,"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",Directed,31,,"<[2006.0, Infinity]>",1.0,Universities,Investment,2006,
Universidade do Porto,"KINEMATIX SENSE, S.A.",Directed,32,,"<[2008.0, Infinity]>",1.0,Universities,Investment,2008,
Universidade do Porto,"MAGNOMICS, S.A.",Directed,33,,"<[2014.0, Infinity]>",1.0,Universities,Investment,2014,
Universidade do Porto,"FLUIDINOVA, S.A.",Directed,34,,"<[2005.0, Infinity]>",1.0,Universities,Investment,2005,
"Inesc ID ­ Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento","COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.",Directed,35,,"<[2006.0, Infinity]>",1.0,Universities,Investment,2006,
BGI SA,"VENIAM, INC.",Directed,36,,"<[2014.0, Infinity]>",1.0,Universities,Investment,2014,
BGI SA,"CHANGING EXPERIENCE, S.A.",Directed,37,,"<[2013.0, Infinity]>",1.0,Universities,Investment,2013,
BGI SA,"D-ORBIT PT, LDA",Directed,38,,"<[2014.0, Infinity]>",1.0,Universities,Investment,2014,
BGI SA,"MOVVO, S.A.",Directed,39,,"<[2013.0, Infinity]>",1.0,Universities,Investment,2013,
BPI,FCR F-HITEC,Directed,40,,"<[2008.0, Infinity]>",1.0,Banks,VC Fundraising,2008,
BPI,Pathena SICAR,Directed,41,,"<[2012.0, Infinity]>",1.0,Banks,VC Fundraising,2012,
BPI,FCR Portugal Ventures Turismo Inovação,Directed,42,,"<[2011.0, Infinity]>",1.0,Banks,VC Fundraising,2011,
BPI,FCR Portugal Ventures ACTEC II,Directed,43,,"<[2011.0, Infinity]>",1.0,Banks,VC Fundraising,2011,
BES/Novo Banco,FCR ISTART I,Directed,44,,"<[2011.0, Infinity]>",1.0,Banks,VC Fundraising,2011,
BES/Novo Banco,FCR PME / Novo Banco,Directed,45,,"<[1997.0, Infinity]>",1.0,Banks,VC Fundraising,1997,
BES/Novo Banco,FCR ESV Inovação & Internacionalização,Directed,46,,"<[2011.0, Infinity]>",1.0,Banks,VC Fundraising,2011,
Novo Banco (vendido SONAE IM em 2016),FCR ESV II,Directed,47,,"<[2006.0, 2016.0]>",1.0,Banks,VC Fundraising,2006,2016
Novo Banco (vendido SONAE IM em 2016),FCR ESV III,Directed,48,,"<[2009.0, Infinity]>",1.0,Banks,VC Fundraising,2009,
DST,FCR Minho Inovação e Internacionalização,Directed,49,,"<[2011.0, Infinity]>",1.0,Corporate,VC Fundraising,2011,
SONAE Capital,FCR F-HITEC,Directed,50,,"<[2008.0, Infinity]>",1.0,Corporate,VC Fundraising,2008,
INSTITUTO DE SOLDADURA E QUALIDADE,"SPHERAA - PRODUÇÃO DE ENERGIA, LDA",Directed,51,,"<[2008.0, Infinity]>",1.0,Corporate,Investment,2008,
PKM,FCR Minho Inovação e Internacionalização,Directed,52,,"<[2011.0, Infinity]>",1.0,Corporate,VC Fundraising,2011,
IMPRESA,"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",Directed,53,,"<[2011.0, 2015.0]>",1.0,Corporate,Investment,2011,2015
"CGC Centro de Genética Clínica e Patologia, S.A.",STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,Directed,54,,"<[2011.0, Infinity]>",1.0,Corporate,Investment,2011,
"Bluepharma ­ Indústria farmacêutica,S.A.","TREAT U, S.A.",Directed,55,,"<[2013.0, Infinity]>",1.0,Corporate,Investment,2013,
"LUSÁGUA ­ SERVIÇOS AMBIENTAIS, S.A.","SPHERAA - PRODUÇÃO DE ENERGIA, LDA",Directed,56,,"<[2008.0, Infinity]>",1.0,Corporate,Investment,2008,
REPSOL,"WINDPLUS, S.A.",Directed,57,,"<[2009.0, Infinity]>",1.0,Corporate,Investment,2009,
Workday Ventures,"UNBABEL, INC.",Directed,58,,"<[2014.0, Infinity]>",1.0,Corporate,Investment,2014,
D­ORBIT S.R.L.,"D-ORBIT PT, LDA",Directed,59,,"<[2014.0, Infinity]>",1.0,Targeted companies (startups),Management entity (or controlling entity),2014,
Union Square Ventures,"VENIAM, INC.",Directed,60,,"<[2014.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s - Outside PT,Investment,2014,
Octopus Ventures,UNIPLACES LIMITED,Directed,61,,"<[2013.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s - Outside PT,Investment,2013,
Atomico,UNIPLACES LIMITED,Directed,62,,"<[2013.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s - Outside PT,Investment,2013,
True Ventures,"VENIAM, INC.",Directed,63,,"<[2014.0, Infinity]>",1.0,Limited Partners (LPs)/SCR´s - Outside PT,Investment,2014,
FCR Portugal Ventures Indústrias Criativas,"SCIENCE4YOU, S.A.",Directed,64,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Portugal Ventures Indústrias Criativas,"TUIZZI, S.A.",Directed,65,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Indústrias Criativas,NUTRI VENTURES CORPORATION - NVC S.A.,Directed,66,,"<[2010.0, Infinity]>",1.0,Venture Capital Funds,Investment,2010,
FCR Portugal Ventures Indústrias Criativas,"IM3DICAL, S.A.",Directed,67,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Indústrias Criativas,"GORGEOUSDETAILS, S.A. - SOCIEDADE EM LIQUIDAÇÃO",Directed,68,,"<[2013.0, 2016.0]>",1.0,Venture Capital Funds,Investment,2013,2016
FCR Portugal Ventures Indústrias Criativas,"GLOBAL INPAKT, S.A.",Directed,69,,"<[2013.0, 2015.0]>",1.0,Venture Capital Funds,Investment,2013,2015
FCR Portugal Ventures Indústrias Criativas,"GETSOCIAL, S.A.",Directed,70,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Indústrias Criativas,"GLEAM, S.A.",Directed,71,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Finicia,"SCIENCE4YOU, S.A.",Directed,72,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Novabase Capital,"POWER DATA, LDA",Directed,73,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Novabase Capital,"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",Directed,74,,"<[2011.0, 2015.0]>",1.0,Venture Capital Funds,Investment,2011,2015
FCR InovCapital,"KINEMATIX SENSE, S.A.",Directed,75,,"<[2008.0, Infinity]>",1.0,Venture Capital Funds,Investment,2008,
FCR InovCapital,GENE PREDIT S.A.,Directed,76,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Change Partners I,FCR Fast Change,Directed,77,,"<[2003.0, Infinity]>",1.0,Venture Capital Funds,VC Fundraising,2003,
Fundo de Sindicação de Capital de Risco PME – IAPMEI (“FSCR PME IAPMEI”),FCR Beta Early Stages,Directed,78,,"<[2005.0, 2014.0]>",1.0,Venture Capital Funds,VC Fundraising,2005,2014
Fundo de Capital de Risco para Investidores Qualificados – CAPVEN NewCapital (“FIQ CAPVEN”),FCR Beta Early Stages,Directed,79,,"<[2005.0, 2014.0]>",1.0,Venture Capital Funds,VC Fundraising,2005,2014
FCR Portugal Ventures Turismo Inovação,"MYGON, S.A.",Directed,80,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Portugal Ventures Turismo Inovação,"WEDELIVERAWESOMEAPPS, S.A.",Directed,81,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Portugal Ventures Turismo Inovação,"ICLIO, S.A.",Directed,82,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Portugal Ventures Turismo Inovação,"MAPS WITH LIFE, S.A. - EM LIQUIDAÇÃO",Directed,83,,"<[2013.0, 2016.0]>",1.0,Venture Capital Funds,Investment,2013,2016
FCR Portugal Ventures Turismo Inovação,"FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.",Directed,84,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR Portugal Ventures Turismo Inovação,"FRIDAY: CIÊNCIA E ENGENHARIA DO LAZER, S.A.",Directed,85,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Beta Ciências da Vida,"NONIUSSOFT, SOFTWARE E CONSULTORIA PARA TELECOMUNICAÇÕES, S.A.",Directed,86,,"<[2011.0, 2015.0]>",1.0,Venture Capital Funds,Investment,2011,2015
FCR Beta Ciências da Vida,"MAGNOMICS, S.A.",Directed,87,,"<[2014.0, Infinity]>",1.0,Venture Capital Funds,Investment,2014,
FCR Beta Ciências da Vida,"EQUIGERMINAL, S.A.",Directed,88,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Beta Ciências da Vida,"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",Directed,89,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR ISTART I,"SAKPROJECT INTERNATIONAL, S.A",Directed,90,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR ISTART I,QAMINE LIMITED,Directed,91,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR ISTART I,"QAMINE PORTUGAL, S.A",Directed,92,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR ISTART I,"ECOFOOT, S.A.",Directed,93,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR ISTART I,"LASERLEAP TECHNOLOGIES,S.A.",Directed,94,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR ISTART I,"MUZZLEY, S.A.",Directed,95,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR ISTART I,"FASTINOV, S.A.",Directed,96,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR ISTART I,"EQUIGERMINAL, S.A.",Directed,97,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR ISTART I,"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",Directed,98,,"<[2013.0, Infinity]>",1.0,Venture Capital Funds,Investment,2013,
FCR PME / Novo Banco,"EPEDAL, SGPS S.A.",Directed,99,,"<[2015.0, Infinity]>",1.0,Venture Capital Funds,Investment,2015,
FCR Fast Change,"STOPLINE FILMS - PRODUÇÃO DE AUDIOVISUAIS, LDA",Directed,100,,"<[2005.0, Infinity]>",1.0,Venture Capital Funds,Investment,2005,
FCR Fast Change,"CEV, S.A.",Directed,101,,"<[2007.0, Infinity]>",1.0,Venture Capital Funds,Investment,2007,
FCR Fast Change,"CONVERDE, S.A.",Directed,102,,"<[2012.0, Infinity]>",1.0,Venture Capital Funds,Investment,2012,
FCR Fast Change,CRITICAL LINKS S.A.,Directed,103,,"<[2007.0, Infinity]>",1.0,Venture Capital Funds,Investment,2007,
