From Type,Source,Edge,Target,Weight,starting date,ending date
Universities,"Taguspark, SA",Investment,FCR ISTART I,1,2011,
Other,Sindicato Nac. Quadros e Técnicos Bancários,VC Fundraising,FCR Portugal Ventures Universitas,1,2011,
Venture Capital Funds,Fundo ISQ Capital,Investment,"SPHERAA - PRODUÇÃO DE ENERGIA, LDA",1,2008,
Venture Capital Funds,Fundo ISQ Capital,Investment,"IBERMAROS-EQUIPAMENTOS INDUSTRIAIS, S.A.",1,2005,
Limited Partners (LPs)/SCR´s - Outside PT,Investo,Investment,"UNBABEL, INC.",1,2014,
Corporate,Cisco Investments,Investment,"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Herrick Partners,Investment,"YDREAMS - INFORMÁTICA, S.A.",1,2006,
Corporate,"Mota­ Engil, Engenharia e Construção , S. A.",Investment,"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",1,2006,
Corporate,NEUTROPLAST ­ INDÚSTRIA DE EMBALAGENS PLÁSTICAS S.A.,Investment,"BEYONDEVICES, S.A.",1,2015,
Corporate,Grupo EDP,Management entity (or controlling entity),EDP Inovação,1,2005,
Corporate,Grupo EDP,Management entity (or controlling entity),EDP Ventures SGPS,1,2005,
Corporate,Grupo EDP,Investment,"WINDPLUS, S.A.",1,2009,
Corporate,Grupo EDP,Investment,"EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.",1,2012,
Corporate,"Critical Software, S.A.",Investment,"CBRA GENOMICS, S.A.",1,2013,
Corporate,EDP Inovação,Investment,"WINDPLUS, S.A.",1,2009,
Corporate,EDP Ventures SGPS,Investment,"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",1,2011,2015
Corporate,"Brisa, SA",VC Fundraising,FCR ISTART I,1,2011,
Corporate,"Brisa, SA",VC Fundraising,FCR F-HITEC,1,2008,
Corporate,SIBS,VC Fundraising,FCR F-HITEC,1,2008,
Limited Partners (LPs)/SCR´s - Outside PT,Verizon Ventures,Investment,"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Cane Investments LLC,Investment,"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Yamaha Motor Ventures,Investment,"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Orange Digital Ventures,Investment,"VENIAM, INC.",1,2014,
Limited Partners (LPs)/SCR´s - Outside PT,Liberty Global Ventures,Investment,"VENIAM, INC.",1,2014,
Corporate,"CUF ­ Companhia União Fabril, SGPS, S.A",Investment,"YD YNVISIBLE, S.A.",1,2013,
Corporate,Beyond Newsgen ­ Soluções de Gestão e Personalização de Conteúdos Lda,Investment,"WIZI TO FIND, S.A.",1,2006,
Corporate,ENERNOVA - Novas Energias S.A.,Investment,"WINDPLUS, S.A.",1,2009,
Universities,ISCTE,VC Fundraising,FCR Portugal Ventures Universitas,1,2011,
Universities,ISCTE,Management entity (or controlling entity),BGI SA,1,2013,
Universities,Universidade do Porto,Investment,"SMARTWATT - ENERGY SERVICES, S.A.",1,2009,
Universities,Universidade do Porto,Investment,"PETSYS ELECTRONICS - MEDICAL PET DETECTORS,",1,2013,
Universities,Universidade do Porto,Investment,"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",1,2006,
Universities,Universidade do Porto,Investment,"KINEMATIX SENSE, S.A.",1,2008,
Universities,Universidade do Porto,Investment,"MAGNOMICS, S.A.",1,2014,
Universities,Universidade do Porto,Investment,"FLUIDINOVA, S.A.",1,2005,
Universities,"Inesc ID ­ Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento",Investment,"COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.",1,2006,
Universities,BGI SA,Investment,"VENIAM, INC.",1,2014,
Universities,BGI SA,Investment,"CHANGING EXPERIENCE, S.A.",1,2013,
Universities,BGI SA,Investment,"D-ORBIT PT, LDA",1,2014,
Universities,BGI SA,Investment,"MOVVO, S.A.",1,2013,
Banks,BPI,VC Fundraising,FCR F-HITEC,1,2008,
