Type,ID,Label,NACE,Country,starting date,ending date
Universities,"Taguspark, SA","Taguspark, SA",N - Administrative and support service activities,PT,2011,
Other,Sindicato Nac. Quadros e Técnicos Bancários,Sindicato Nac. Quadros e Técnicos Bancários,S - Other services activities,PT,1983,
Venture Capital Funds,Fundo ISQ Capital,Fundo ISQ Capital,K - Financial and insurance activities,PT,2005,
Limited Partners (LPs)/SCR´s - Outside PT,Investo,Investo,Foreign Company,USA,2011,
Corporate,Cisco Investments,Cisco Investments,Foreign Company,USA,1984,
Limited Partners (LPs)/SCR´s - Outside PT,Herrick Partners,Herrick Partners,K - Financial and insurance activities,USA,2006,
Corporate,"Mota­ Engil, Engenharia e Construção , S. A.","Mota­ Engil, Engenharia e Construção , S. A.",C - Manufacturing,PT,2006,
Corporate,NEUTROPLAST ­ INDÚSTRIA DE EMBALAGENS PLÁSTICAS S.A.,NEUTROPLAST ­ INDÚSTRIA DE EMBALAGENS PLÁSTICAS S.A.,C - Manufacturing,PT,2015,
Corporate,Grupo EDP,Grupo EDP,"D - Electricity, gas, steam and air conditioning supply",PT,2005,
Corporate,"Critical Software, S.A.","Critical Software, S.A.",J - Information and communication,PT,2012,
Corporate,EDP Inovação,EDP Inovação,"M - Professional, scientific and technical activities",PT,2005,
Corporate,EDP Ventures SGPS,EDP Ventures SGPS,K - Financial and insurance activities,PT,2009,
Corporate,"Brisa, SA","Brisa, SA",K - Financial and insurance activities,PT,1972,
Corporate,SIBS,SIBS,J - Information and communication,PT,2008,
Limited Partners (LPs)/SCR´s - Outside PT,Verizon Ventures,Verizon Ventures,K - Financial and insurance activities,USA,2000,
Limited Partners (LPs)/SCR´s - Outside PT,Cane Investments LLC,Cane Investments LLC,K - Financial and insurance activities,USA,2004,
Limited Partners (LPs)/SCR´s - Outside PT,Yamaha Motor Ventures,Yamaha Motor Ventures,K - Financial and insurance activities,USA,2015,
Limited Partners (LPs)/SCR´s - Outside PT,Orange Digital Ventures,Orange Digital Ventures,K - Financial and insurance activities,USA,2015,
Limited Partners (LPs)/SCR´s - Outside PT,Liberty Global Ventures,Liberty Global Ventures,K - Financial and insurance activities,USA,2005,
Corporate,"CUF ­ Companhia União Fabril, SGPS, S.A","CUF ­ Companhia União Fabril, SGPS, S.A",K - Financial and insurance activities,PT,2013,
Corporate,Beyond Newsgen ­ Soluções de Gestão e Personalização de Conteúdos Lda,Beyond Newsgen ­ Soluções de Gestão e Personalização de Conteúdos Lda,"M - Professional, scientific and technical activities",PT,2006,
Corporate,ENERNOVA - Novas Energias S.A.,ENERNOVA - Novas Energias S.A.,unknown,PT,2009,
Universities,ISCTE,ISCTE,P - Education,PT,1972,
Universities,Universidade do Porto,Universidade do Porto,P - Education,PT,1911,
Universities,"Inesc ID ­ Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento","Inesc ID ­ Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento","M - Professional, scientific and technical activities",PT,2010,
Universities,BGI SA,BGI SA,"M - Professional, scientific and technical activities",PT,2013,
Banks,BPI,BPI,K - Financial and insurance activities,PT,1981,
Banks,BES/Novo Banco,BES/Novo Banco,K - Financial and insurance activities,PT,1920,
Banks,Novo Banco (vendido SONAE IM em 2016),Novo Banco (vendido SONAE IM em 2016),K - Financial and insurance activities,PT,2006,
Corporate,DST,DST,F - Construction,PT,2011,
Corporate,SONAE Capital,SONAE Capital,"M - Professional, scientific and technical activities",PT,2008,
Corporate,INSTITUTO DE SOLDADURA E QUALIDADE,INSTITUTO DE SOLDADURA E QUALIDADE,"M - Professional, scientific and technical activities",PT,1965,
Corporate,PKM,PKM,K - Financial and insurance activities,PT,2011,
Corporate,IMPRESA,IMPRESA,J - Information and communication,PT,1991,
Corporate,"CGC Centro de Genética Clínica e Patologia, S.A.","CGC Centro de Genética Clínica e Patologia, S.A.",Q - Human health and social work activities,PT,2011,
Corporate,"Bluepharma ­ Indústria farmacêutica,S.A.","Bluepharma ­ Indústria farmacêutica,S.A.",C - Manufacturing,PT,2013,
Corporate,"LUSÁGUA ­ SERVIÇOS AMBIENTAIS, S.A.","LUSÁGUA ­ SERVIÇOS AMBIENTAIS, S.A.",E - Water supply; sewerage; waste managment and remediation activities,PT,2008,
Corporate,REPSOL,REPSOL,Foreign Company,ES,2009,
Corporate,Workday Ventures,Workday Ventures,Foreign Company,USA,2005,
Targeted companies (startups),"EXCITING SPACE, S.A.","EXCITING SPACE, S.A.",J - Information and communication,PT,2012,
Targeted companies (startups),"EQUIGERMINAL, S.A.","EQUIGERMINAL, S.A.","M - Professional, scientific and technical activities",PT,2011,
