Type,Name,Description,Image,Reference,NACE,Country,starting date,ending date
Universities,"Taguspark, SA",,,,N - Administrative and support service activities,PT,2011,
Other,Sindicato Nac. Quadros e Técnicos Bancários,,,,S - Other services activities,PT,1983,
Venture Capital Funds,Fundo ISQ Capital,,,,K - Financial and insurance activities,PT,2005,
Limited Partners (LPs)/SCR´s - Outside PT,Investo,,,,Foreign Company,USA,2011,
Corporate,Cisco Investments,,,,Foreign Company,USA,1984,
Limited Partners (LPs)/SCR´s - Outside PT,Herrick Partners,,,,K - Financial and insurance activities,USA,2006,
Corporate,"Mota­ Engil, Engenharia e Construção , S. A.",,,,C - Manufacturing,PT,2006,
Corporate,NEUTROPLAST ­ INDÚSTRIA DE EMBALAGENS PLÁSTICAS S.A.,,,,C - Manufacturing,PT,2015,
Corporate,Grupo EDP,,,,"D - Electricity, gas, steam and air conditioning supply",PT,2005,
Corporate,"Critical Software, S.A.",,,,J - Information and communication,PT,2012,
Corporate,EDP Inovação,,,,"M - Professional, scientific and technical activities",PT,2005,
Corporate,EDP Ventures SGPS,,,,K - Financial and insurance activities,PT,2009,
Corporate,"Brisa, SA",,,,K - Financial and insurance activities,PT,1972,
Corporate,SIBS,,,,J - Information and communication,PT,2008,
Limited Partners (LPs)/SCR´s - Outside PT,Verizon Ventures,,,,K - Financial and insurance activities,USA,2000,
Limited Partners (LPs)/SCR´s - Outside PT,Cane Investments LLC,,,,K - Financial and insurance activities,USA,2004,
Limited Partners (LPs)/SCR´s - Outside PT,Yamaha Motor Ventures,,,,K - Financial and insurance activities,USA,2015,
Limited Partners (LPs)/SCR´s - Outside PT,Orange Digital Ventures,,,,K - Financial and insurance activities,USA,2015,
Limited Partners (LPs)/SCR´s - Outside PT,Liberty Global Ventures,,,,K - Financial and insurance activities,USA,2005,
Corporate,"CUF ­ Companhia União Fabril, SGPS, S.A",,,,K - Financial and insurance activities,PT,2013,
Corporate,Beyond Newsgen ­ Soluções de Gestão e Personalização de Conteúdos Lda,,,,"M - Professional, scientific and technical activities",PT,2006,
Corporate,ENERNOVA - Novas Energias S.A.,,,,unknown,PT,2009,
Universities,ISCTE,,,,P - Education,PT,1972,
Universities,Universidade do Porto,,,,P - Education,PT,1911,
Universities,"Inesc ID ­ Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento",,,,"M - Professional, scientific and technical activities",PT,2010,
Universities,BGI SA,,,,"M - Professional, scientific and technical activities",PT,2013,
Banks,BPI,,,,K - Financial and insurance activities,PT,1981,
Banks,BES/Novo Banco,,,,K - Financial and insurance activities,PT,1920,
Banks,Novo Banco (vendido SONAE IM em 2016),,,,K - Financial and insurance activities,PT,2006,
Corporate,DST,,,,F - Construction,PT,2011,
Corporate,SONAE Capital,,,,"M - Professional, scientific and technical activities",PT,2008,
Corporate,INSTITUTO DE SOLDADURA E QUALIDADE,,,,"M - Professional, scientific and technical activities",PT,1965,
Corporate,PKM,,,,K - Financial and insurance activities,PT,2011,
Corporate,IMPRESA,,,,J - Information and communication,PT,1991,
Corporate,"CGC Centro de Genética Clínica e Patologia, S.A.",,,,Q - Human health and social work activities,PT,2011,
Corporate,"Bluepharma ­ Indústria farmacêutica,S.A.",,,,C - Manufacturing,PT,2013,
Corporate,"LUSÁGUA ­ SERVIÇOS AMBIENTAIS, S.A.",,,,E - Water supply; sewerage; waste managment and remediation activities,PT,2008,
Corporate,REPSOL,,,,Foreign Company,ES,2009,
Corporate,Workday Ventures,,,,Foreign Company,USA,2005,
Targeted companies (startups),"EXCITING SPACE, S.A.",,,,J - Information and communication,PT,2012,
Targeted companies (startups),"EQUIGERMINAL, S.A.",,,,"M - Professional, scientific and technical activities",PT,2011,
Targeted companies (startups),"EXAGO VENTURES, S.A.",,,,"M - Professional, scientific and technical activities",PT,2007,
Targeted companies (startups),"EPEDAL, SGPS S.A.",,,,K - Financial and insurance activities,PT,2007,
Targeted companies (startups),"ENEIDA, WIRELESS & SENSORS, S.A.",,,,C - Manufacturing,PT,2012,
Targeted companies (startups),"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",,,,J - Information and communication,PT,2008,
Targeted companies (startups),"FASTINOV, S.A.",,,,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.",,,,J - Information and communication,PT,2013,
Targeted companies (startups),Farfetch UK Limited,,,,Foreign Company,UK,2008,
Targeted companies (startups),"EXOGENUS THERAPEUTICS, S.A.",,,,"M - Professional, scientific and technical activities",PT,2015,
Targeted companies (startups),"DOCTORGUMMY, LDA",,,,"M - Professional, scientific and technical activities",PT,2014,
Targeted companies (startups),"DISPLAX, S.A.",,,,J - Information and communication,PT,2005,
Targeted companies (startups),D­ORBIT S.R.L.,,,,"M - Professional, scientific and technical activities",IT,2011,
Targeted companies (startups),"D-ORBIT PT, LDA",,,,"M - Professional, scientific and technical activities",PT,2014,
Targeted companies (startups),Current,,,,Foreign Company,USA,1999,
Targeted companies (startups),"EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.",,,,F - Construction,PT,2009,
Targeted companies (startups),"ECT - BUSINESS OPORTUNITY, COMPRA E VENDA DE VIATURAS, LDA",,,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2014,
Targeted companies (startups),"ECOFOOT, S.A.",,,,C - Manufacturing,PT,2012,
Targeted companies (startups),E.A.D. - EMPRESA DE ARQUIVO DE DOCUMENTAÇÃO S.A.,,,,N - Administrative and support service activities,PT,2006,
Targeted companies (startups),"DTV RESEARCH, UNIPESSOAL LDA",,,,J - Information and communication,PT,2012,
Targeted companies (startups),"DOMATICA ­ GLOBAL SOLUTIONS, S.A.",,,,J - Information and communication,PT,2005,
